商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,人民币
870240,仅装有驱动电动机的车辆,116,日本,31,上海市,"5,134,609"
870240,仅装有驱动电动机的车辆,410,巴西,31,上海市,"1,254,982"
870240,仅装有驱动电动机的车辆,444,乌拉圭,31,上海市,"1,218,080"
870340,同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外,138,阿联酋,31,上海市,"19,557,540"
870340,同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外,145,哈萨克斯坦,31,上海市,"416,166"
870340,同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外,146,吉尔吉斯斯坦,31,上海市,"859,820"
870340,同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外,149,乌兹别克斯坦,31,上海市,"700,562"
870340,同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外,152,阿塞拜疆(2023年起),31,上海市,"18,206,170"
870340,同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外,340,白俄罗斯,31,上海市,"1,088,439"
870340,同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外,344,俄罗斯,31,上海市,"236,436"
870340,同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外,350,斯洛文尼亚,31,上海市,"896,940"
870340,同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外,410,巴西,31,上海市,"356,522"
870340,同时装有点燃式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外,502,美国,31,上海市,"2,435,527"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,102,巴林,31,上海市,"292,877"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,117,约旦,31,上海市,"30,528,764"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,118,科威特,31,上海市,"436,979"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,120,黎巴嫩,31,上海市,"729,856"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,126,阿曼,31,上海市,"728,689"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,136,泰国,31,上海市,"3,360,768"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,137,土耳其,31,上海市,"16,875,045"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,138,阿联酋,31,上海市,"7,820,435"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,145,哈萨克斯坦,31,上海市,"3,697,929"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,146,吉尔吉斯斯坦,31,上海市,"23,369,770"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,149,乌兹别克斯坦,31,上海市,"3,542,102"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,152,阿塞拜疆(2023年起),31,上海市,"1,094,753"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,231,毛里求斯,31,上海市,"2,460,785"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,232,摩洛哥,31,上海市,"5,682,405"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,249,突尼斯,31,上海市,"7,892,541"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,301,比利时,31,上海市,"144,192,732"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,303,英国,31,上海市,"221,847,381"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,304,德国,31,上海市,"1,905,658"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,305,法国,31,上海市,"16,445,998"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,307,意大利,31,上海市,"76,381,090"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,310,希腊,31,上海市,"22,093,499"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,312,西班牙,31,上海市,"323,580,911"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,330,瑞典,31,上海市,"89,930"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,340,白俄罗斯,31,上海市,"2,163,885"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,344,俄罗斯,31,上海市,"474,700"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,350,斯洛文尼亚,31,上海市,"16,536,445"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,429,墨西哥,31,上海市,"117,309,649"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,442,特立尼达和多巴哥,31,上海市,"23,758,780"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,444,乌拉圭,31,上海市,"465,882"
870360,同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的其他车辆，可接插外部电源充电,601,澳大利亚,31,上海市,"136,409,392"
